id,title,genres,averageRating,numVotes,releaseYear
tt0092324,"Blackadder the Third",Comedy,8.6,47753,1987
tt2100976,"Impractical Jokers","Comedy, Reality-TV",8.6,47042,2011
tt1641384,"Young Justice","Action, Adventure, Animation",8.6,46667,2010
tt2049116,Gomorrah,"Crime, Drama, Thriller",8.6,45535,2014
tt13111040,"The Offer","Biography, Crime, Drama",8.6,42449,2022
tt5288312,Skam,"Drama, Romance",8.6,39566,2015
tt11854694,"Special OPS","Action, Crime, Thriller",8.6,38123,2020
tt9140342,"It's a Sin","Comedy, Drama, History",8.6,37843,2021
tt12451520,"It's Okay to Not Be Okay","Comedy, Drama, Romance",8.6,37326,2020
tt0053488,"The Bugs Bunny Show","Animation, Comedy",8.6,36146,1960
tt0417349,"North & South","Drama, Romance",8.6,35591,2004
tt2701582,Endeavour,"Crime, Drama, Mystery",8.6,34478,2012
tt0380136,QI,"Comedy, Game-Show",8.6,34005,2003
tt7562112,Pose,Drama,8.6,33669,2018
tt1983079,"Call the Midwife","Drama, History",8.6,32422,2012
tt4647692,Letterkenny,Comedy,8.6,30794,2016
tt5994364,"Guardian: The Lonely and Great God","Comedy, Drama, Fantasy",8.6,30173,2016
tt20869502,"Extraordinary Attorney Woo",Drama,8.6,29330,2022
tt0417373,"The Venture Bros.","Action, Adventure, Animation",8.6,28556,2003
tt4156586,"Permanent Roommates","Comedy, Romance",8.6,26498,2014
tt0094517,"Mystery Science Theater 3000","Comedy, Sci-Fi",8.6,26142,1988
tt2433738,Wentworth,"Crime, Drama, Thriller",8.6,25284,2013
tt21056886,"Scavengers Reign","Adventure, Animation, Drama",8.6,23447,2023
tt2244495,"The Eric Andre Show","Comedy, Talk-Show",8.6,22311,2012
tt0129690,"I'm Alan Partridge",Comedy,8.6,22294,1997
tt4082744,Detectorists,Comedy,8.6,22267,2014
tt0421291,"Avrupa Yakasi",Comedy,8.6,21839,2004
tt2311418,"Isler Güçler",Comedy,8.6,21485,2012
tt8050756,"The Owl House","Action, Adventure, Animation",8.6,20950,2020
tt7278862,"My Brilliant Friend",Drama,8.6,18923,2018
tt0310455,"Foyle's War","Crime, Drama, Mystery",8.6,18811,2002
tt1513168,"Through the Wormhole",Documentary,8.6,18547,2010
tt10590066,"All Creatures Great & Small","Comedy, Drama",8.6,17971,2020
tt9814458,"Bandish Bandits","Drama, Music, Romance",8.6,17855,2020
tt3671754,"Kardes Payi","Comedy, Drama, Family",8.6,17440,2014
tt0203082,"Rurouni Kenshin: Trust and Betrayal","Action, Adventure, Animation",8.6,16585,1999
tt0403778,"Long Way Round","Adventure, Documentary",8.6,15520,2004
tt17513352,"Twenty Five Twenty One","Drama, Romance",8.6,15347,2022
tt15614372,"Tear Along the Dotted Line","Animation, Comedy, Drama",8.6,15120,2021
tt6385540,Hilda,"Adventure, Animation, Drama",8.6,14440,2018
tt0120570,"From the Earth to the Moon","Action, Drama, History",8.6,13467,1998
tt1877368,"The Great British Baking Show","Game-Show, Reality-TV",8.6,13257,2010
tt0086831,"Yes, Prime Minister",Comedy,8.6,13254,1986
tt13634792,Mouse,"Action, Crime, Mystery",8.6,12363,2021
tt5320412,"Moon Lovers: Scarlet Heart Ryeo","Action, Drama, Fantasy",8.6,12275,2016
tt0118273,"Brass Eye",Comedy,8.6,11744,1997
tt13400006,"Mr. Queen","Comedy, Fantasy, Romance",8.6,11686,2020
tt9103932,"Greatest Events of WWII in Colour","Documentary, History, War",8.6,11333,2019
tt8254348,ImMATURE,"Comedy, Drama, Romance",8.6,10463,2019
tt4580372,Merlí,"Comedy, Drama, Romance",8.6,10183,2015
tt31862849,"Very Parivarik",Comedy,8.6,10182,2024
tt0426719,"Hunter x Hunter","Action, Adventure, Animation",8.6,10156,1999
tt9304350,"Fruits Basket","Animation, Comedy, Drama",8.6,10060,2019
tt2306299,Vikings,"Action, Adventure, Drama",8.5,599931,2013
tt10048342,"The Queen's Gambit",Drama,8.5,582076,2020
tt0475784,Westworld,"Drama, Mystery, Sci-Fi",8.5,540891,2016
tt1442437,"Modern Family","Comedy, Drama, Romance",8.5,499166,2009
tt4158110,"Mr. Robot","Crime, Drama, Thriller",8.5,428429,2015
tt5071412,Ozark,"Crime, Drama, Thriller",8.5,357134,2017
